HGNC symbol	EntrezGene ID
ITPKB-IT1	100506443
ZNF847P	
DUSP5P	574029
PSG10P	
CEACAM20	
SNRPD2P2	645339
CEACAM22P	388550
APOC1P1	342
LINC00184	100302691
NAPSB	256236
KLKP1	606293
LGALS8-AS1	100287902
LINC00085	147650
ZNF137P	
RPS7P5	645884
ZNF816-ZNF321P	399669
ZNF702P	79986
ZNF761	
HNRNPU-AS1	284702
LILRP2	
ZNF542	147947
ZNF550	
VN1R5	
OR2W5	
OR2L1P	26247
OR2M1P	388762
DIO3	
KLLN	100144748
C19orf76	199800
TMPRSS11BNL	401136
C17orf110	100130933
SAMD4A	
VN1R1	57191
ZNF772	400720
LINC00272	388719
ZNF419	79744
ZNF773	374928
ZNF549	256051
ZNF416	55659
ZIK1	284307
ZNF530	348327
ZNF134	7693
ZNF211	10520
MIR4426	100616345
ZSCAN4	201516
ZNF551	90233
SPIB	6689
MYBPC2	4606
FAM71E1	112703
C19orf63	284361
JOSD2	126119
PPIEL	
ASPDH	554235
LRRC4B	94030
SYT3	84258
C19orf81	342918
SHANK1	50944
CLEC11A	6320
GPR32	2854
ACPT	93650
C19orf48	84798
KLK1	3816
KLK15	55554
KLK3	354
KLK2	3817
KLK4	9622
KLK5	25818
KLK6	5653
KLK7	5650
RPS15AP10	728963
KLK8	11202
KLK9	284366
KLK10	5655
CYP4Z2P	
KLK11	11012
KLK12	43849
KLK13	26085
SKINTL	
KLK14	43847
CTU1	90353
SIGLEC9	27180
SIGLEC7	27036
CD33	945
C19orf75	284369
IGLON5	402665
VSIG10L	147645
ETFB	2109
CLDND2	125875
NKG7	4818
LIM2	3982
SIGLEC10	89790
ZNF154	7710
ZNF671	79891
ZNF776	284309
ZNF586	54807
SIGLEC8	27181
CEACAM18	729767
SIGLEC12	89858
SIGLEC6	946
ZNF552	79818
ZNF587	84914
ZNF587	100293516
ZNF814	730051
ZNF417	147687
ZNF418	147686
FAM58BP	
ZNF256	10172
C19orf18	147685
ZNF606	80095
RPS10P7	376693
ZSCAN1	284312
ZNF135	7694
PTPRVP	148713
ZSCAN18	65982
ZNF329	79673
ZNF274	10782
ZNF544	27300
ZNF8	7554
ZSCAN22	342945
A1BG	1
ZNF497	162968
ZNF837	116412
RPS5	6193
LINC00303	
ZNF584	201514
ZNF132	7691
ZNF324B	388569
ZNF324	25799
ZNF446	55663
SLC27A5	10998
ZBTB45	84878
TRIM28	10155
CHMP2A	27243
UBE2M	9040
MZF1	7593
PLK5	
MIR7-3HG	284424
PLAC2	257000
EMR4P	326342
C3P1	388503
LINC00467	84791
ZNF833P	401898
HNRNPA1P10	
FLVCR1-AS1	642946
UCA1	652995
ZNF826P	664701
AURKAPS1	
ZNF175	7728
SIGLEC5	8778
SIGLEC14	100049587
HAS1	3036
KCNJ12	100653095
KCNJ12	3768
